Station Category,Station #,Station Name,Katakana Name,Lat,Lon,Lat Degree,Lat Minute,Lon Degree,Lon Minute,Elevation,Precipitation,Wind,Teperature,Sunshine,Snowfall,,,,,Note 1,Note 2
a,0009,西風連,ニシフウレン,44.29500000,142.35833333,44,17.7,142,21.5,128,1,0,0,0,0,9999,99,99,2000年11月30日までの地点名「雨竜」,,
a,0010,下川,シモカワ,44.30166667,142.62333333,44,18.1,142,37.4,140,1,1,1,1,1,9999,99,99,,,
a,0011,士別,シベツ,44.18666667,142.41666667,44,11.2,142,25,135,1,1,1,1,0,9999,99,99,,,
a,0012,犬牛別峠,イヌウシベツトウゲ,44.07000000,142.27000000,44,4.2,142,16.2,410,1,0,0,0,0,2005,11,10,,,
a,0013,雄鷹峰,オタカミネ,43.95333333,142.32000000,43,57.2,142,19.2,305,1,0,0,0,0,2004,6,30,,,
a,0014,蓬莱山,ホウライザン,43.91333333,142.58333333,43,54.8,142,35,320,1,0,0,0,0,2004,6,30,,,
a,0015,上川,カミカワ,43.84666667,142.75333333,43,50.8,142,45.2,324,1,1,1,1,1,9999,99,99,,,
s,47407,旭川,アサヒカワ,43.75666667,142.37166667,43,45.4,142,22.3,119.8,1,1,1,1,1,9999,99,99,,,
a,0017,瑞穂,ミズホ,43.73666667,142.63833333,43,44.2,142,38.3,289,1,0,0,0,0,9999,99,99,,,
a,0018,終沢,オワリザワ,43.63000000,142.33500000,43,37.8,142,20.1,550,1,0,0,0,0,2004,6,30,,,
a,0019,旭岳,アサヒダケ,43.66166667,142.82666667,43,39.7,142,49.6,1620,1,0,0,0,0,2004,6,30,,,
a,0020,白金,シロガネ,43.47500000,142.65000000,43,28.5,142,39,658,1,0,0,0,0,9999,99,99,,,
a,0021,富良野,フラノ,43.33333333,142.40000000,43,20,142,24,174,1,1,1,1,1,9999,99,99,,,
a,0022,前富良野岳,マエフラノダケ,43.37666667,142.56833333,43,22.6,142,34.1,746,1,0,0,0,0,2005,11,15,,,
a,0023,前時雨山,マエシグレヤマ,43.18500000,142.34666667,43,11.1,142,20.8,380,1,0,0,0,0,2005,11,17,,,
a,1047,朝日,アサヒ,44.11833333,142.59500000,44,7.1,142,35.7,225,1,1,1,1,0,9999,99,99,,,
a,1048,比布,ピップ,43.87500000,142.48000000,43,52.5,142,28.8,175,1,1,1,1,0,9999,99,99,,,
a,1049,層雲峡,ソウウンキョウ,43.75333333,142.93000000,43,45.2,142,55.8,540,1,0,0,0,1,9999,99,99,,,
a,1052,美瑛,ビエイ,43.58833333,142.49333333,43,35.3,142,29.6,250,1,1,1,1,1,9999,99,99,,,
a,1055,和寒,ワッサム,44.02833333,142.41000000,44,1.7,142,24.6,150,1,1,1,1,1,9999,99,99,,,
a,1184,東川,ヒガシカワ,43.70166667,142.50833333,43,42.1,142,30.5,215,1,1,1,1,0,9999,99,99,,,
a,1185,志比内,シビナイ,43.64333333,142.58166667,43,38.6,142,34.9,310,1,1,1,1,0,9999,99,99,2001年12月2日までの地点名「忠別」,,
a,1188,幾寅,イクトラ,43.16833333,142.56833333,43,10.1,142,34.1,350,1,1,1,1,1,9999,99,99,,,
a,1189,占冠,シムカップ,42.97833333,142.39500000,42,58.7,142,23.7,332,1,1,1,1,1,9999,99,99,,,
a,1190,上富良野,カミフラノ,43.45500000,142.46500000,43,27.3,142,27.9,220,1,1,1,1,0,9999,99,99,,,
a,1191,江丹別,エタンベツ,43.87000000,142.26000000,43,52.2,142,15.6,140,1,1,1,1,0,9999,99,99,,,
a,1197,音威子府,オトイネップ,44.72666667,142.26500000,44,43.6,142,15.9,40,1,1,1,1,1,9999,99,99,,,
a,1201,中川,ナカガワ,44.82833333,142.07666667,44,49.7,142,4.6,22,1,1,1,1,0,9999,99,99,,,
a,1280,麓郷,ロクゴウ,43.30166667,142.52166667,43,18.1,142,31.3,315,1,1,1,1,0,9999,99,99,,,
a,1458,東神楽,ヒガシカグラ,43.67000000,142.44666667,43,40.2,142,26.8,211,1,1,1,0,1,9999,99,99,,,
a,1570,小車,オグルマ,44.60833333,142.29500000,44,36.5,142,17.7,62,1,0,0,0,0,9999,99,99,,,
a,1572,剣淵,ケンブチ,44.10666667,142.35333333,44,6.4,142,21.2,138,1,0,0,0,0,9999,99,99,,,
a,1574,金山,カナヤマ,43.13833333,142.41666667,43,8.3,142,25,284,1,0,0,0,0,9999,99,99,,,
a,1053,幌加内,ホロカナイ,44.01000000,142.16000000,44,0.6,142,9.6,159,1,1,1,1,1,9999,99,99,,,
a,1053,幌加内,ホロカナイ,44.01000000,142.16000000,44,0.6,142,9.6,159,1,1,1,1,1,9999,99,99,,,
a,1279,朱鞠内,シュマリナイ,44.28166667,142.16166667,44,16.9,142,9.7,255,1,1,1,1,1,9999,99,99,,,
a,0024,天塩,テシオ,44.89333333,141.76166667,44,53.6,141,45.7,9,1,1,1,1,1,9999,99,99,,,
a,0025,遠別,エンベツ,44.71833333,141.80666667,44,43.1,141,48.4,7,1,1,1,1,0,9999,99,99,,,
s,47404,羽幌,ハボロ,44.36333333,141.70000000,44,21.8,141,42,7.9,1,1,1,1,1,9999,99,99,,,
s,47406,留萌,ルモイ,43.94500000,141.63166667,43,56.7,141,37.9,23.6,1,1,1,1,1,9999,99,99,,,
a,0028,増毛,マシケ,43.84833333,141.51000000,43,50.9,141,30.6,20,1,1,1,1,0,9999,99,99,,,
a,1112,古丹別,コタンベツ,44.26500000,141.72166667,44,15.9,141,43.3,15,1,0,0,0,1,9999,99,99,,,
a,1213,焼尻,ヤギシリ,44.42833333,141.42166667,44,25.7,141,25.3,38,1,1,1,1,0,9999,99,99,,,
a,1216,初山別,ショサンベツ,44.52333333,141.77000000,44,31.4,141,46.2,27,1,1,1,1,1,9999,99,99,,,
a,1217,達布,タップ,44.04833333,141.85666667,44,2.9,141,51.4,30,1,1,1,1,0,9999,99,99,,,
a,1218,幌糠,ホロヌカ,43.85333333,141.76000000,43,51.2,141,45.6,20,1,1,1,1,1,9999,99,99,,,
a,0029,阿曽岩,アソイワ,43.30166667,141.51333333,43,18.1,141,30.8,320,1,0,0,0,0,2009,11,2,,,
a,0030,新篠津,シンシノツ,43.22000000,141.64500000,43,13.2,141,38.7,9,1,1,1,1,1,9999,99,99,,,
a,0031,山口,ヤマグチ,43.14833333,141.22166667,43,8.9,141,13.3,5,1,1,1,1,0,9999,99,99,,,
a,0032,手稲山,テイネヤマ,43.08333333,141.20166667,43,5,141,12.1,568,1,0,0,0,0,9999,99,99,,,
s,47412,札幌,サツポロ,43.06000000,141.32833333,43,3.6,141,19.7,17.4,1,1,1,1,1,9999,99,99,,,
a,0034,小金湯,コガネユ,42.96333333,141.21666667,42,57.8,141,13,230,1,0,0,0,1,9999,99,99,,,
a,0035,恵庭島松,エニワシママツ,42.92666667,141.56500000,42,55.6,141,33.9,30,1,1,1,1,1,9999,99,99,,,
a,0036,島松山,シママツヤマ,42.89500000,141.41333333,42,53.7,141,24.8,400,1,0,0,0,0,2004,5,1,,,
a,0037,支笏湖畔,シコツコハン,42.77166667,141.40666667,42,46.3,141,24.4,290,1,1,1,1,0,9999,99,99,,,
a,1076,西野幌,ニシノッポロ,43.04333333,141.54000000,43,2.6,141,32.4,22,1,1,1,1,0,2000,10,31,,,
a,1085,石狩,イシカリ,43.19333333,141.37000000,43,11.6,141,22.2,5,1,1,1,1,1,9999,99,99,,,
a,1193,浜益,ハママス,43.58166667,141.38666667,43,34.9,141,23.2,3,1,1,1,1,0,9999,99,99,,,
a,1194,厚田,アツタ,43.39666667,141.43666667,43,23.8,141,26.2,5,1,1,1,1,1,9999,99,99,,,
a,1459,千歳,チトセ,42.77500000,141.69166667,42,46.5,141,41.5,22,1,1,1,0,1,9999,99,99,,,
a,1507,江別,エベツ,43.11000000,141.60166667,43,6.6,141,36.1,8,1,1,1,1,0,9999,99,99,,,
a,0038,石狩沼田,イシカリヌマタ,43.81500000,141.92666667,43,48.9,141,55.6,63,1,1,1,1,0,9999,99,99,,,
a,0039,深川,フカガワ,43.71833333,142.07333333,43,43.1,142,4.4,55,1,1,1,1,1,9999,99,99,,,
a,0040,常盤山,トキワヤマ,43.76000000,142.20166667,43,45.6,142,12.1,560,1,0,0,0,0,1984,10,3,,,
a,0041,滝川,タキカワ,43.57000000,141.93833333,43,34.2,141,56.3,50,1,1,1,1,1,9999,99,99,,,
a,0042,神威岳,カモイダケ,43.51833333,142.00500000,43,31.1,142,0.3,455,1,0,0,0,0,2005,10,31,,,
a,0043,芦別,アシベツ,43.51666667,142.19000000,43,31,142,11.4,90,1,1,1,1,1,9999,99,99,,,
a,0044,美唄,ビバイ,43.36333333,141.82666667,43,21.8,141,49.6,16,1,1,1,1,1,9999,99,99,,,
s,47413,岩見沢,イワミザワ,43.21166667,141.78500000,43,12.7,141,47.1,42.3,1,1,1,1,1,9999,99,99,,,
a,0046,下桂沢,シモカツラザワ,43.25666667,141.96833333,43,15.4,141,58.1,265,1,0,0,0,0,2008,9,1,,,
a,0047,長沼,ナガヌマ,43.01166667,141.69333333,43,0.7,141,41.6,13,1,1,1,1,0,9999,99,99,,,
a,0048,丁未山,テイミヤマ,43.08166667,141.95666667,43,4.9,141,57.4,663,1,0,0,0,0,1983,7,29,,,
a,0049,夕張,ユウバリ,43.03833333,141.95666667,43,2.3,141,57.4,293,1,1,1,1,1,9999,99,99,,,
a,0050,登川山,ノボリカワヤマ,42.92333333,142.09500000,42,55.4,142,5.7,365,1,0,0,0,0,1983,7,29,,,
a,0999,月形,ツキガタ,43.33000000,141.61666667,43,19.8,141,37,50,1,1,1,1,0,9999,99,99,,,
a,1068,栗沢,クリサワ,43.12166667,141.74500000,43,7.3,141,44.7,20,1,0,0,0,0,9999,99,99,,,
a,1270,晩生内,オソキナイ,43.40500000,141.75000000,43,24.3,141,45,140,1,0,0,0,0,1983,8,1,,,
a,1271,桜山,サクラヤマ,43.68166667,141.85000000,43,40.9,141,51,230,1,0,0,0,0,2005,11,1,,,
a,1287,空知吉野,ソラチヨシノ,43.59500000,141.73166667,43,35.7,141,43.9,100,1,1,1,1,0,9999,99,99,,,
a,1400,浦臼,ウラウス,43.42833333,141.80833333,43,25.7,141,48.5,25,1,0,0,0,0,9999,99,99,,,
a,1401,鹿島,カシマ,43.08000000,142.10000000,43,4.8,142,6,310,1,0,0,0,0,9999,99,99,,,
a,1402,沼の沢,ヌマノサワ,42.96000000,142.02000000,42,57.6,142,1.2,161,1,0,0,0,0,9999,99,99,,,
a,1419,新城,シンジョウ,43.61166667,142.20333333,43,36.7,142,12.2,147,1,0,0,0,0,9999,99,99,,,
a,1566,赤平,アカビラ,43.55333333,142.06666667,43,33.2,142,4,120,1,0,0,0,0,9999,99,99,,,
a,1567,雨竜,ウリュウ,43.66000000,141.89166667,43,39.6,141,53.5,42,1,0,0,0,0,9999,99,99,,,
a,0051,美国,ビクニ,43.27166667,140.56333333,43,16.3,140,33.8,75,1,1,1,1,0,9999,99,99,,,
a,0052,余市,ヨイチ,43.18166667,140.75833333,43,10.9,140,45.5,20,1,1,1,1,1,9999,99,99,,,
s,47411,小樽,オタル,43.18166667,141.01500000,43,10.9,141,0.9,24.9,1,1,1,1,1,9999,99,99,,,
a,0054,共和,キョウワ,42.98000000,140.60333333,42,58.8,140,36.2,15,1,1,1,1,1,9999,99,99,2008年11月12日までの地点名「岩内」,,
a,0055,蘭越,ランコシ,42.81000000,140.54166667,42,48.6,140,32.5,39,1,1,1,1,1,9999,99,99,,,
s,47433,倶知安,クツチヤン,42.90000000,140.75666667,42,54,140,45.4,176.1,1,1,1,1,1,9999,99,99,,,
a,0057,脇方台地,ワキカタダイチ,42.87666667,140.94500000,42,52.6,140,56.7,525,1,0,0,0,0,2004,5,1,,,
s,47421,寿都,スツツ,42.79500000,140.22333333,42,47.7,140,13.4,33.4,1,1,1,1,1,9999,99,99,,,
a,0059,桂台,カツラダイ,42.75166667,140.61833333,42,45.1,140,37.1,333,1,0,0,0,0,2010,3,11,,,
a,0060,喜茂別,キモベツ,42.79333333,140.94833333,42,47.6,140,56.9,264,1,1,1,1,1,9999,99,99,,,
a,0061,黒松内,クロマツナイ,42.66333333,140.31000000,42,39.8,140,18.6,27,1,1,1,1,1,9999,99,99,,,
a,1072,真狩,マッカリ,42.77500000,140.88000000,42,46.5,140,52.8,440,1,1,1,1,0,9999,99,99,,,
a,1091,赤井川,アカイガワ,43.08333333,140.82000000,43,5,140,49.2,148,1,0,0,0,1,9999,99,99,,,
a,1208,神恵内,カモエナイ,43.14500000,140.42333333,43,8.7,140,25.4,50,1,1,1,1,0,9999,99,99,,,
a,1615,ニセコ,ニセコ,42.77833333,140.66666667,42,46.7,140,40,113,1,0,0,0,0,9999,99,99,,,
a,1615,ニセコ,ニセコ,42.77833333,140.66666667,42,46.7,140,40,113,1,0,0,0,0,9999,99,99,,,
s,47405,雄武,オウム,44.58000000,142.96333333,44,34.8,142,57.8,14.1,1,1,1,1,1,9999,99,99,,,
a,0063,興部,オコッペ,44.47000000,143.10833333,44,28.2,143,6.5,8,1,1,1,1,0,9999,99,99,,,
s,47435,紋別,モンベツ,44.34500000,143.35500000,44,20.7,143,21.3,15.8,1,1,1,1,1,9999,99,99,,,
a,0065,湧別,ユウベツ,44.21333333,143.61833333,44,12.8,143,37.1,5,1,1,1,1,0,9999,99,99,,,
a,0066,滝上,タキノウエ,44.17666667,143.06166667,44,10.6,143,3.7,165,1,1,1,1,1,9999,99,99,,,
a,0067,上藻別,カミモベツ,44.18833333,143.33666667,44,11.3,143,20.2,85,1,0,0,0,0,9999,99,99,,,
a,0068,常呂,トコロ,44.11500000,144.03666667,44,6.9,144,2.2,3,1,1,1,1,0,9999,99,99,,,
a,0069,遠軽,エンガル,44.05333333,143.54000000,44,3.2,143,32.4,80,1,1,1,1,1,9999,99,99,,,
a,0070,佐呂間,サロマ,44.01833333,143.76000000,44,1.1,143,45.6,54,1,1,1,1,1,9999,99,99,,,
s,47409,網走,アバシリ,44.01666667,144.27833333,44,1,144,16.7,37.6,1,1,1,1,1,9999,99,99,,,
a,0072,生田原,イクタハラ,43.91666667,143.53166667,43,55,143,31.9,199,1,1,1,1,0,9999,99,99,,,
a,0073,仁頃山,ニコロヤマ,43.86000000,143.74666667,43,51.6,143,44.8,261,1,0,0,0,0,9999,99,99,,,
a,0074,北見,キタミ,43.77666667,143.84166667,43,46.6,143,50.5,104,1,1,1,1,1,9999,99,99,,,
a,0075,小清水,コシミズ,43.84166667,144.48500000,43,50.5,144,29.1,52,1,1,1,1,0,9999,99,99,,,
a,0076,斜里,シャリ,43.88500000,144.70000000,43,53.1,144,42,15,1,1,1,1,1,9999,99,99,,,
a,0077,留辺蘂,ルベシベ,43.74166667,143.45000000,43,44.5,143,27,325,1,1,1,1,1,9999,99,99,,,
a,0078,留辺蘂山,ルベシベヤマ,43.75833333,143.60333333,43,45.5,143,36.2,470,1,0,0,0,0,1984,10,4,,,
a,0079,美幌,ビホロ,43.77000000,144.17166667,43,46.2,144,10.3,60,1,1,1,1,0,9999,99,99,,,
a,0080,藻琴山,モコトヤマ,43.72666667,144.29666667,43,43.6,144,17.8,518,1,0,0,0,0,2010,3,18,,,
a,0081,チミケップ山,チミケップヤマ,43.64500000,143.89000000,43,38.7,143,53.4,600,1,0,0,0,0,2005,11,4,,,
a,0082,津別,ツベツ,43.70166667,144.03333333,43,42.1,144,2,100,1,1,1,1,1,9999,99,99,,,
a,0083,北見中山,キタミナカヤマ,43.59833333,143.46000000,43,35.9,143,27.6,905,1,0,0,0,0,2005,11,8,,,
a,0981,宇登呂,ウトロ,44.05166667,144.98166667,44,3.1,144,58.9,144,1,1,1,1,1,9999,99,99,,,
a,1073,西興部,ニシオコッペ,44.33166667,142.93666667,44,19.9,142,56.2,120,1,1,1,1,1,9999,99,99,,,
a,1092,白滝,シラタキ,43.86500000,143.15333333,43,51.9,143,9.2,475,1,1,1,1,1,9999,99,99,,,
a,1209,境野,サカイノ,43.70666667,143.64333333,43,42.4,143,38.6,184,1,1,1,1,0,9999,99,99,,,
a,1263,東藻琴,ヒガシモコト,43.84000000,144.28500000,43,50.4,144,17.1,58,1,0,0,0,0,9999,99,99,,,
a,1420,丸瀬布,マルセップ,43.95166667,143.32833333,43,57.1,143,19.7,242,1,0,0,0,0,9999,99,99,,,
a,1460,女満別,メマンベツ,43.88000000,144.16333333,43,52.8,144,9.8,33,1,1,1,0,1,9999,99,99,,,
a,1487,紋別小向,モンベツコムカイ,44.30333333,143.40333333,44,18.2,143,24.2,18,1,1,1,0,1,9999,99,99,,,
a,1568,津別二又,ツベツフタマタ,43.58333333,143.86500000,43,35,143,51.9,221,1,0,0,0,0,9999,99,99,,,
a,1569,置戸常元,オケトツネモト,43.62000000,143.44000000,43,37.2,143,26.4,368,1,0,0,0,0,9999,99,99,,,
a,1617,山園,ヤマゾノ,43.74333333,144.33666667,43,44.6,144,20.2,361,1,0,0,0,0,9999,99,99,,,
a,1617,山園,ヤマゾノ,43.74333333,144.33666667,43,44.6,144,20.2,361,1,0,0,0,0,9999,99,99,,,
a,0084,羅臼,ラウス,44.02333333,145.18666667,44,1.4,145,11.2,15,1,1,1,1,1,9999,99,99,,,
a,0085,標津,シベツ,43.66166667,145.13166667,43,39.7,145,7.9,3,1,1,1,1,0,9999,99,99,,,
a,0086,中標津,ナカシベツ,43.54333333,144.97833333,43,32.6,144,58.7,50,1,1,1,1,1,9999,99,99,,,
a,0087,計根別,ケネベツ,43.48500000,144.80833333,43,29.1,144,48.5,110,1,1,1,1,0,2003,10,16,,,
a,0088,別海,ベツカイ,43.38166667,145.11833333,43,22.9,145,7.1,23,1,1,1,1,1,9999,99,99,,,
s,47420,根室,ネムロ,43.33000000,145.58500000,43,19.8,145,35.1,25.2,1,1,1,1,1,9999,99,99,,,
a,1056,納沙布,ノサップ,43.39333333,145.75833333,43,23.6,145,45.5,12,1,1,1,1,0,9999,99,99,,,
a,1196,厚床,アットコ,43.22166667,145.22666667,43,13.3,145,13.6,41,1,1,1,1,1,9999,99,99,,,
a,1266,糸櫛別,イトクシベツ,43.72166667,144.98833333,43,43.3,144,59.3,115,1,0,0,0,0,9999,99,99,,,
a,1489,根室中標津,ネムロナカシベツ,43.57666667,144.96000000,43,34.6,144,57.6,65,1,1,1,0,1,9999,99,99,,,
a,1547,上標津,カミシベツ,43.52000000,144.74666667,43,31.2,144,44.8,181,1,1,1,1,0,9999,99,99,,,
a,0090,川湯,カワユ,43.61666667,144.45666667,43,37,144,27.4,158,1,1,1,1,1,9999,99,99,,,
a,0091,阿寒湖畔,アカンコハン,43.43666667,144.08500000,43,26.2,144,5.1,450,1,1,1,1,1,9999,99,99,,,
a,0092,弟子屈,テシカガ,43.47833333,144.44666667,43,28.7,144,26.8,107,1,0,0,0,0,1977,10,6,,,
a,0093,標茶,シベチャ,43.29166667,144.58666667,43,17.5,144,35.2,20,1,1,1,1,1,9999,99,99,,,
a,0094,幌呂台地,ホロロダイチ,43.27833333,144.22666667,43,16.7,144,13.6,225,1,0,0,0,0,1983,8,1,,,
a,0095,中徹別,ナカテシベツ,43.19833333,144.14166667,43,11.9,144,8.5,80,1,1,1,1,1,9999,99,99,,,
a,0096,阿寒,アカン,43.11333333,144.12333333,43,6.8,144,7.4,40,1,0,0,0,0,9999,99,99,1983年8月4日までの地点名「阿寒台」,,
a,0097,霧多布,キリタップ,43.07666667,145.12833333,43,4.6,145,7.7,2,1,0,0,0,0,1976,11,1,,,
a,0098,白糠,シラヌカ,42.97000000,144.06166667,42,58.2,144,3.7,9,1,1,1,1,1,9999,99,99,,,
s,47418,釧路,クシロ,42.98500000,144.37666667,42,59.1,144,22.6,4.5,1,1,1,1,1,9999,99,99,,,
a,1107,二俣,フタマタ,42.97166667,143.87500000,42,58.3,143,52.5,45,1,0,0,0,0,9999,99,99,,,
a,1186,鶴居,ツルイ,43.23166667,144.32500000,43,13.9,144,19.5,38,1,1,1,1,1,9999,99,99,,,
a,1187,弟子屈,テシカガ,43.51000000,144.46666667,43,30.6,144,28,170,1,1,1,1,0,9999,99,99,,,
a,1192,太田,オオタ,43.09000000,144.77833333,43,5.4,144,46.7,85,1,1,1,1,1,9999,99,99,,,
a,1195,榊町,サカキマチ,43.12000000,145.11000000,43,7.2,145,6.6,2,1,1,1,1,0,9999,99,99,,,
a,1283,知方学,チッポマナイ,42.93833333,144.73500000,42,56.3,144,44.1,149,1,1,1,1,0,9999,99,99,,,
a,1403,塘路,トウロ,43.14833333,144.49666667,43,8.9,144,29.8,25,1,0,0,0,0,9999,99,99,,,
a,1417,茶内原野,チャナイゲンヤ,43.17333333,144.96666667,43,10.4,144,58,70,1,0,0,0,0,9999,99,99,,,
a,1461,鶴丘,ツルオカ,43.04000000,144.19166667,43,2.4,144,11.5,95,1,1,1,0,1,9999,99,99,,,
a,0100,軍艦山,グンカンヤマ,43.47833333,143.12666667,43,28.7,143,7.6,900,1,0,0,0,0,1984,10,1,,,
a,0101,陸別,リクベツ,43.46833333,143.73833333,43,28.1,143,44.3,207,1,1,1,1,1,9999,99,99,,,
a,0102,殖産高地,ショクサンコウチ,43.43500000,143.69500000,43,26.1,143,41.7,419,1,0,0,0,0,1983,7,29,,,
a,0103,ぬかびら源泉郷,ヌカビラゲンセンキョウ,43.36666667,143.19166667,43,22,143,11.5,540,1,1,1,1,1,9999,99,99,2011年5月31日までの地点名「糠平」,,
a,0104,小坂山,コサカヤマ,43.39666667,143.48333333,43,23.8,143,29,740,1,0,0,0,0,1983,10,4,,,
a,0105,上足寄,カミアショロ,43.35666667,143.80166667,43,21.4,143,48.1,384,1,0,0,0,0,1983,10,4,,,
a,0106,西ヌプカウシ山,ニシヌプカウシヤマ,43.24166667,143.07000000,43,14.5,143,4.2,760,1,0,0,0,0,2009,11,2,,,
a,0107,上士幌,カミシホロ,43.23500000,143.30333333,43,14.1,143,18.2,295,1,1,1,1,1,9999,99,99,,,
a,0108,幌安山,ホロヤスヤマ,43.24833333,143.44500000,43,14.9,143,26.7,440,1,0,0,0,0,1983,7,29,,,
a,0109,足寄,アショロ,43.24333333,143.55333333,43,14.6,143,33.2,90,1,1,1,1,0,9999,99,99,,,
a,0110,佐幌岳,サホロダケ,43.17500000,142.78500000,43,10.5,142,47.1,900,1,0,0,0,0,2009,11,2,,,
a,0111,三角山,サンカクヤマ,43.19666667,142.96833333,43,11.8,142,58.1,560,1,0,0,0,0,1984,10,1,,,
a,0112,本別,ホンベツ,43.13166667,143.60000000,43,7.9,143,36,67,1,1,1,1,1,9999,99,99,,,
a,0113,新得,シントク,43.07666667,142.84000000,43,4.6,142,50.4,178,1,1,1,1,1,9999,99,99,,,
a,0114,鹿追,シカオイ,43.10333333,142.99500000,43,6.2,142,59.7,206,1,1,1,1,0,9999,99,99,,,
a,0115,芽室,メムロ,42.90000000,143.04333333,42,54,143,2.6,90,1,1,1,1,1,9999,99,99,,,
s,47417,帯広,オビヒロ,42.92166667,143.21166667,42,55.3,143,12.7,38.4,1,1,1,1,1,9999,99,99,,,
a,0117,池田,イケダ,42.92000000,143.45833333,42,55.2,143,27.5,42,1,1,1,1,0,9999,99,99,,,
a,0118,浦幌,ウラホロ,42.80833333,143.65666667,42,48.5,143,39.4,20,1,1,1,1,1,9999,99,99,,,
a,0119,帯広岳,オビヒロダケ,42.74666667,142.93333333,42,44.8,142,56,440,1,0,0,0,0,1996,10,2,,,
a,0120,ひょうたん沢,ヒョウタンザワ,42.59666667,143.06333333,42,35.8,143,3.8,380,1,0,0,0,0,1996,9,25,,,
a,0121,大樹,タイキ,42.50000000,143.27333333,42,30,143,16.4,87,1,1,1,1,1,9999,99,99,,,
s,47440,広尾,ヒロオ,42.29333333,143.31666667,42,17.6,143,19,32.4,1,1,1,1,1,9999,99,99,,,
a,1099,三国山,ミクニヤマ,43.56833333,143.14000000,43,34.1,143,8.4,940,1,0,0,0,0,2005,11,9,,,
a,1204,駒場,コマバ,43.05000000,143.18333333,43,3,143,11,112,1,1,1,1,0,9999,99,99,,,
a,1210,上札内,カミサツナイ,42.64166667,143.09666667,42,38.5,143,5.8,251,1,1,1,1,1,9999,99,99,,,
a,1211,更別,サラベツ,42.65166667,143.19500000,42,39.1,143,11.7,185,1,1,1,1,0,9999,99,99,,,
a,1214,大津,オオツ,42.68500000,143.64666667,42,41.1,143,38.8,4,1,1,1,1,0,9999,99,99,,,
a,1286,糠内,ヌカナイ,42.78666667,143.32833333,42,47.2,143,19.7,70,1,1,1,1,0,9999,99,99,,,
a,1404,小利別,ショウトシベツ,43.58833333,143.68000000,43,35.3,143,40.8,313,1,0,0,0,0,9999,99,99,,,
a,1405,押帯,オショップ,43.11500000,143.44333333,43,6.9,143,26.6,104,1,0,0,0,0,9999,99,99,,,
